TradeDate,Broker,ClientCode,Symbol,Side,Qty,Price,GrossAmount,ExchangeTradeID
2025-11-23,ALPHA_SEC,CL338392,INFY,BUY,166,2163.02,359061.32,EX20251123000000
2025-11-21,ALPHA_SEC,CL183049,AXISBANK,BUY,198,1215.49,240667.02,EX20251121000001
2025-11-20,ALPHA_SEC,CL870889,ITC,BUY,380,2072.6,787588.0,EX20251120000002
2025-11-29,ALPHA_SEC,CL687111,TATAMOTORS,SELL,212,1243.5,263622.0,EX20251129000003
2025-11-22,OMEGA_BROKING,CL789464,RELIANCE,BUY,16,943.87,15101.92,EX20251122000004
2025-11-24,BETA_INVEST,CL353282,ICICIBANK,SELL,17,2110.52,35878.84,EX20251124000005
2025-11-20,BETA_INVEST,CL545598,LT,BUY,165,341.32,56317.8,EX20251120000006
2025-11-22,ALPHA_SEC,CL233995,KOTAKBANK,BUY,287,1732.32,497175.84,EX20251122000007
2025-11-20,ALPHA_SEC,CL810084,AXISBANK,SELL,129,1915.97,247160.13,EX20251120000008
2025-11-20,OMEGA_BROKING,CL625213,SBIN,SELL,52,1091.07,56735.64,EX20251120000009
2025-11-24,DELTA_TRADES,CL298123,TATAMOTORS,SELL,24,2961.52,71076.48,EX20251124000010
2025-11-26,OMEGA_BROKING,CL661050,RELIANCE,BUY,464,244.67,113526.88,EX20251126000011
2025-11-23,ALPHA_SEC,CL919151,RELIANCE,BUY,447,1563.2,698750.4,EX20251123000012
2025-11-22,OMEGA_BROKING,CL833757,RELIANCE,BUY,286,2265.74,648001.64,EX20251122000013
2025-11-25,BETA_INVEST,CL422139,RELIANCE,BUY,320,1352.05,432656.0,EX20251125000014
2025-11-23,DELTA_TRADES,CL592099,KOTAKBANK,SELL,208,1668.35,347016.8,EX20251123000015
2025-11-24,OMEGA_BROKING,CL992457,AXISBANK,BUY,112,2844.29,318560.48,EX20251124000016
2025-11-25,ALPHA_SEC,CL257743,TATAMOTORS,BUY,231,358.89,82903.59,EX20251125000017
2025-11-20,BETA_INVEST,CL234484,KOTAKBANK,BUY,380,-384.28,-146026.4,EX20251120000018
2025-11-20,OMEGA_BROKING,CL143230,TATAMOTORS,BUY,68,665.94,45283.92,EX20251120000019
2025-11-20,ALPHA_SEC,CL028301,AXISBANK,SELL,184,993.36,182778.24,EX20251120000020
2025-11-26,OMEGA_BROKING,CL122174,SBIN,BUY,426,2590.58,1103587.08,EX20251126000021
2025-11-21,OMEGA_BROKING,CL528386,INFY,SELL,116,2301.78,267006.48,EX20251121000022
2025-11-25,DELTA_TRADES,CL804787,RELIANCE,SELL,482,1655.37,797888.34,EX20251125000023
2025-11-25,BETA_INVEST,CL464286,LT,BUY,319,1240.87,395837.53,EX20251125000024
2025-11-29,BETA_INVEST,CL187767,KOTAKBANK,BUY,278,2094.24,582198.72,EX20251129000025
2025-11-25,DELTA_TRADES,CL025046,KOTAKBANK,BUY,178,730.09,129956.02,EX20251125000026
2025-11-22,ALPHA_SEC,CL746806,RELIANCE,BUY,293,1484.05,434826.65,EX20251122000027
2025-11-25,OMEGA_BROKING,CL537857,HDFC,BUY,445,2142.79,953541.55,EX20251125000028
2025-11-26,DELTA_TRADES,CL445418,TATAMOTORS,SELL,3,1221.27,3663.81,EX20251126000029
2025-11-23,ALPHA_SEC,CL750568,KOTAKBANK,BUY,393,1893.78,744255.54,EX20251123000030
2025-11-22,DELTA_TRADES,CL539886,TATAMOTORS,BUY,409,236.13,96577.17,EX20251122000031
2025-11-29,DELTA_TRADES,CL805247,ITC,BUY,111,871.83,96773.13,EX20251129000032
2025-11-22,OMEGA_BROKING,CL796548,LT,SELL,160,-1813.72,-290195.2,EX20251122000033
2025-11-22,ALPHA_SEC,CL007442,LT,SELL,209,2756.76,576162.84,EX20251122000034
2025-11-22,DELTA_TRADES,CL019238,TATAMOTORS,BUY,76,1737.22,132028.72,EX20251122000035
2025-11-29,ALPHA_SEC,CL593664,INFY,SELL,319,1717.84,547990.96,EX20251129000036
2025-11-21,ALPHA_SEC,CL809174,RELIANCE,BUY,457,1305.48,596604.36,EX20251121000037
2025-11-21,ALPHA_SEC,CL911514,ITC,BUY,317,2346.08,743707.36,EX20251121000038
2025-11-21,DELTA_TRADES,CL936701,RELIANCE,BUY,254,2983.08,757702.32,EX20251121000039
2025-11-23,ALPHA_SEC,CL835341,ICICIBANK,BUY,419,1804.26,755984.94,EX20251123000040
2025-11-26,OMEGA_BROKING,CL965641,INFY,SELL,447,177.26,79235.22,EX20251126000041
2025-11-23,OMEGA_BROKING,CL360270,ICICIBANK,SELL,146,2343.22,342110.12,EX20251123000042
2025-11-24,OMEGA_BROKING,CL630253,LT,BUY,101,2244.2,226664.2,EX20251124000043
2025-11-23,BETA_INVEST,CL769414,SBIN,SELL,415,2554.72,1060208.8,EX20251123000044
2025-11-26,DELTA_TRADES,CL898360,TATAMOTORS,SELL,119,632.5,75267.5,EX20251126000045
2025-11-22,DELTA_TRADES,CL217967,ITC,SELL,348,1178.44,410097.12,EX20251122000046
2025-11-22,ALPHA_SEC,CL029953,AXISBANK,SELL,402,2895.67,1164059.34,EX20251122000047
2025-11-22,ALPHA_SEC,CL508982,LT,SELL,65,1031.41,67041.65,EX20251122000048
2025-11-22,DELTA_TRADES,CL917808,TATAMOTORS,BUY,430,1967.73,846123.9,EX20251122000049
2025-11-22,DELTA_TRADES,CL435295,KOTAKBANK,SELL,43,430.56,18514.08,EX20251122000050
2025-11-26,ALPHA_SEC,CL255243,KOTAKBANK,BUY,259,2557.55,662405.45,EX20251126000051
2025-11-23,OMEGA_BROKING,CL555903,INFY,SELL,93,2532.45,235517.85,EX20251123000052
2025-11-23,DELTA_TRADES,CL258604,LT,BUY,289,1650.65,477037.85,EX20251123000053
2025-11-22,OMEGA_BROKING,CL846711,RELIANCE,BUY,462,2273.19,1050213.78,EX20251122000054
2025-11-23,BETA_INVEST,CL738391,LT,BUY,364,2916.36,1061555.04,EX20251123000055
2025-11-21,ALPHA_SEC,CL343274,RELIANCE,SELL,393,739.23,290517.39,EX20251121000056
2025-11-20,BETA_INVEST,CL115363,AXISBANK,SELL,234,713.14,166874.76,EX20251120000057
2025-11-24,ALPHA_SEC,CL552302,ITC,SELL,199,2446.45,486843.55,EX20251124000058
2025-11-26,OMEGA_BROKING,CL166636,ICICIBANK,SELL,189,490.5,92704.5,EX20251126000059
2025-11-23,ALPHA_SEC,CL419716,KOTAKBANK,SELL,152,613.54,93258.08,EX20251123000060
2025-11-20,ALPHA_SEC,CL117834,SBIN,SELL,9,336.42,3027.78,EX20251120000061
2025-11-25,BETA_INVEST,CL048751,AXISBANK,SELL,0,2066.63,0.0,EX20251125000062
2025-11-26,BETA_INVEST,CL891735,ICICIBANK,SELL,277,386.49,107057.73,EX20251126000063
2025-11-25,BETA_INVEST,CL130493,TATAMOTORS,BUY,383,1152.69,441480.27,EX20251125000064
2025-11-25,BETA_INVEST,CL359390,INFY,SELL,307,286.27,87884.89,EX20251125000065
2025-11-22,OMEGA_BROKING,CL537843,TATAMOTORS,SELL,384,1274.94,489576.96,EX20251122000066
2025-11-21,BETA_INVEST,CL369811,SBIN,BUY,426,1189.65,506790.9,EX20251121000067
2025-11-21,ALPHA_SEC,CL521496,TATAMOTORS,BUY,376,1855.69,697739.44,EX20251121000068
2025-11-20,ALPHA_SEC,CL811564,RELIANCE,SELL,256,267.34,68439.04,EX20251120000069
2025-11-22,DELTA_TRADES,CL204639,AXISBANK,BUY,190,667.56,126836.4,EX20251122000070
2025-11-25,ALPHA_SEC,CL063706,KOTAKBANK,SELL,29,1119.07,32453.03,EX20251125000071
2025-11-21,ALPHA_SEC,CL063945,LT,SELL,11,2607.31,28680.41,EX20251121000072
2025-11-20,DELTA_TRADES,CL370355,AXISBANK,SELL,35,2831.86,99115.1,EX20251120000073
2025-11-23,DELTA_TRADES,CL980470,TATAMOTORS,SELL,132,2821.25,372405.0,EX20251123000074
2025-11-20,DELTA_TRADES,CL238411,LT,BUY,473,1855.63,877712.99,EX20251120000075
2025-11-24,BETA_INVEST,CL097857,INFY,BUY,255,164.11,41848.05,EX20251124000076
2025-11-22,DELTA_TRADES,CL514221,RELIANCE,SELL,237,2962.15,702029.55,EX20251122000077
2025-11-23,BETA_INVEST,CL070346,RELIANCE,SELL,142,2722.11,386539.62,EX20251123000078
2025-11-25,OMEGA_BROKING,CL927501,KOTAKBANK,SELL,42,889.8,37371.6,EX20251125000079
2025-11-22,OMEGA_BROKING,CL387827,TATAMOTORS,BUY,102,1717.57,175192.14,EX20251122000080
2025-11-22,OMEGA_BROKING,CL929647,AXISBANK,BUY,287,991.47,284551.89,EX20251122000081
2025-11-21,OMEGA_BROKING,CL685289,INFY,BUY,82,2204.92,180803.44,EX20251121000082
2025-11-22,ALPHA_SEC,CL513669,ITC,SELL,272,2462.91,669911.52,EX20251122000083
2025-11-26,ALPHA_SEC,CL977331,SBIN,SELL,424,1638.01,694516.24,EX20251126000084
2025-11-26,DELTA_TRADES,CL661070,LT,BUY,262,1734.58,454459.96,EX20251126000085
2025-11-23,DELTA_TRADES,CL004769,SBIN,SELL,453,776.39,351704.67,EX20251123000086
2025-11-22,BETA_INVEST,CL278857,ITC,BUY,58,1086.0,62988.0,EX20251122000087
2025-11-26,DELTA_TRADES,CL010484,KOTAKBANK,BUY,452,870.45,393443.4,EX20251126000088
2025-11-25,DELTA_TRADES,CL954979,HDFC,SELL,377,922.79,347891.83,EX20251125000089
2025-11-26,ALPHA_SEC,CL752666,RELIANCE,BUY,296,177.01,52394.96,EX20251126000090
2025-11-25,BETA_INVEST,CL455532,LT,SELL,248,2843.91,705289.68,EX20251125000091
2025-11-22,DELTA_TRADES,CL920561,SBIN,SELL,405,1104.68,447395.4,EX20251122000092
2025-11-24,DELTA_TRADES,CL788485,SBIN,BUY,166,1610.25,267301.5,EX20251124000093
2025-11-26,BETA_INVEST,CL243772,ITC,BUY,115,1775.22,204150.3,EX20251126000094
2025-11-29,OMEGA_BROKING,CL064116,TATAMOTORS,BUY,290,604.52,175310.8,EX20251129000095
2025-11-26,DELTA_TRADES,CL603391,ITC,SELL,64,1514.32,96916.48,EX20251126000096
