txn_dt,brkr_id,cli_id,scrip,direction,units,rate_inr,net_val_inr
11-20-2025,ALPHA_SEC,CL884301,KOTAKBANK,B,310,1003.28,311016.8
23-Nov-25,DELTA_TRADES,CL712254,SBIN,B,82,1021.3,83746.6
26-Nov-25,DELTA_TRADES,CL814533,INFY,B,83,1850.48,153589.84
20/11/2025,OMEGA_BROKING,CL875587,LT,B,310,2086.31,646756.1
24/11/2025,DELTA_TRADES,CL402421,INFY,B,220,1545.8,340076.0
2025-11-21,OMEGA_BROKING,CL069667,TATAMOTORS,B,341,363.16,123837.56
26/11/2025,ALPHA_SEC,CL275538,ICICIBANK,B,107,564.25,60374.75
11-23-2025,DELTA_TRADES,CL557621,ITC,B,136,318.97,43379.92
25/11/2025,OMEGA_BROKING,CL169005,LT,B,262,2007.35,525925.7
24/11/2025,OMEGA_BROKING,CL899234,INFY,S,122,2242.94,273638.68
11-25-2025,OMEGA_BROKING,CL214635,KOTAKBANK,S,380,1632.77,620452.6
24/11/2025,ALPHA_SEC,CL379729,ICICIBANK,S,310,2557.52,792831.2
2025-11-24,BETA_INVEST,CL999560,RELIANCE,S,336,993.36,333768.96
20/11/2025,BETA_INVEST,CL157388,TATAMOTORS,B,224,129.67,22088.53
11-22-2025,BETA_INVEST,CL999208,ICICIBANK,B,243,2658.09,645915.87
2025-11-24,DELTA_TRADES,CL085707,TATAMOTORS,S,369,128.99,47597.31
20-Nov-25,OMEGA_BROKING,CL513627,TATAMOTORS,S,274,1406.17,385290.58
11-23-2025,OMEGA_BROKING,CL693423,TATAMOTORS,S,170,1073.36,182471.2
2025-11-20,OMEGA_BROKING,CL206755,ITC,B,200,1955.25,391050.0
11-24-2025,OMEGA_BROKING,CL990772,KOTAKBANK,S,74,297.59,22021.66
11-22-2025,BETA_INVEST,CL950408,TATAMOTORS,B,283,1607.24,454848.92
2025-11-22,OMEGA_BROKING,CL126507,ITC,S,234,947.97,221824.98
