trade_date,broker_code,client,ticker,side,quantity,price,amt
2025-11-25,BETA_INVEST,CL445938,ICICIBANK,BUY,175,480.53,84092.75
2025-11-22,DELTA_TRADES,CL463671,RELIANCE,BUY,156,393.21,61340.76
2025-11-23,DELTA_TRADES,CL142052,INFY,BUY,62,1544.76,95775.12
2025-11-24,OMEGA_BROKING,CL610191,KOTAKBANK,SELL,229,759.57,173941.53
2025-11-20,OMEGA_BROKING,CL508664,INFY,SELL,79,2468.61,195020.19
2025-11-24,BETA_INVEST,CL480290,RELIANCE,BUY,150,933.86,140079.0
2025-11-20,OMEGA_BROKING,CL770897,SBIN,BUY,69,1324.62,91398.78
2025-11-26,DELTA_TRADES,CL382289,KOTAKBANK,BUY,96,959.69,92130.24
2025-11-22,OMEGA_BROKING,CL238295,ITC,SELL,297,1987.13,590177.61
2025-11-20,OMEGA_BROKING,CL601773,INFY,BUY,121,1945.92,235456.32
2025-11-25,BETA_INVEST,CL805421,HDFC,BUY,214,1613.64,345318.96
2025-11-26,BETA_INVEST,CL751504,KOTAKBANK,BUY,189,2149.98,406346.22
2025-11-20,DELTA_TRADES,CL989605,RELIANCE,BUY,281,2236.94,628580.14
2025-11-24,DELTA_TRADES,CL481817,HDFC,SELL,156,682.46,106463.76
2025-11-23,DELTA_TRADES,CL615580,ITC,SELL,142,1074.59,152591.78
2025-11-20,BETA_INVEST,CL412727,KOTAKBANK,SELL,85,1348.95,114660.75
2025-11-22,OMEGA_BROKING,CL725807,LT,BUY,66,463.57,30595.62
2025-11-23,DELTA_TRADES,CL696532,TATAMOTORS,BUY,267,1528.04,407986.68
2025-11-25,BETA_INVEST,CL027972,SBIN,SELL,56,1361.3,76232.8
2025-11-20,ALPHA_SEC,CL680897,SBIN,BUY,64,761.18,48715.52
2025-11-25,DELTA_TRADES,CL282554,HDFC,BUY,212,606.99,128681.88
2025-11-21,OMEGA_BROKING,CL292416,HDFC,BUY,103,1470.26,151436.78
2025-11-21,DELTA_TRADES,CL218765,AXISBANK,BUY,253,437.71,110740.63
2025-11-26,OMEGA_BROKING,CL928662,ICICIBANK,SELL,174,1038.59,180714.66
2025-11-26,DELTA_TRADES,CL103726,AXISBANK,BUY,7,2305.12,16135.84
2025-11-25,OMEGA_BROKING,CL128785,ICICIBANK,BUY,68,1544.13,105000.84
2025-11-24,ALPHA_SEC,CL935031,SBIN,BUY,194,1108.29,215008.26
2025-11-23,DELTA_TRADES,CL822734,RELIANCE,SELL,260,2161.31,561940.6
2025-11-21,DELTA_TRADES,CL664128,INFY,SELL,246,177.06,43556.76
2025-11-21,ALPHA_SEC,CL978214,LT,SELL,144,1198.77,172622.88
2025-11-22,ALPHA_SEC,CL144116,KOTAKBANK,BUY,272,2030.92,552410.24
2025-11-26,DELTA_TRADES,CL114794,RELIANCE,BUY,278,2252.83,626286.74
2025-11-24,ALPHA_SEC,CL282178,RELIANCE,BUY,191,1527.78,291805.98
2025-11-26,DELTA_TRADES,CL250766,SBIN,SELL,99,183.57,18173.43
2025-11-22,OMEGA_BROKING,CL024638,ICICIBANK,SELL,110,2348.58,258343.8
2025-11-22,BETA_INVEST,CL838232,RELIANCE,BUY,52,1252.62,65136.24
2025-11-24,DELTA_TRADES,CL203419,HDFC,BUY,88,1310.35,115310.8
2025-11-23,OMEGA_BROKING,CL588285,KOTAKBANK,SELL,2,2059.93,4119.86
2025-11-26,OMEGA_BROKING,CL512724,ITC,BUY,65,1289.71,83831.15
2025-11-23,BETA_INVEST,CL011678,ICICIBANK,BUY,132,1137.85,150196.2
2025-11-23,OMEGA_BROKING,CL784894,RELIANCE,BUY,140,2214.99,310098.6
2025-11-21,DELTA_TRADES,CL297199,INFY,SELL,59,376.95,22240.05
2025-11-23,ALPHA_SEC,CL058281,ICICIBANK,BUY,296,2208.44,653698.24
2025-11-25,DELTA_TRADES,CL185932,ICICIBANK,SELL,9,609.77,5487.93
2025-11-24,BETA_INVEST,CL291987,TATAMOTORS,SELL,250,1953.21,488302.5
2025-11-23,DELTA_TRADES,CL250049,LT,SELL,88,639.01,56232.88
2025-11-23,DELTA_TRADES,CL787529,INFY,BUY,68,206.63,14050.84
2025-11-22,ALPHA_SEC,CL406221,ITC,SELL,49,2296.08,112507.92
2025-11-23,ALPHA_SEC,CL319846,RELIANCE,BUY,11,953.18,10484.98
2025-11-20,OMEGA_BROKING,CL833015,ITC,SELL,167,210.94,35226.98
2025-11-22,OMEGA_BROKING,CL876790,INFY,BUY,227,2129.77,483457.79
2025-11-26,DELTA_TRADES,CL905763,RELIANCE,SELL,56,800.9,44850.4
2025-11-20,ALPHA_SEC,CL415785,HDFC,BUY,4,1478.6,5914.4
2025-11-21,DELTA_TRADES,CL474272,RELIANCE,BUY,24,1276.64,30639.36
2025-11-21,DELTA_TRADES,CL568961,INFY,BUY,270,205.35,55444.5
2025-11-26,BETA_INVEST,CL589463,SBIN,SELL,158,877.59,138659.22
2025-11-21,OMEGA_BROKING,CL599480,INFY,BUY,96,1338.18,128465.28
2025-11-21,DELTA_TRADES,CL151137,ITC,BUY,194,834.78,161947.32
2025-11-20,ALPHA_SEC,CL242699,TATAMOTORS,SELL,184,2436.45,448306.8
2025-11-25,DELTA_TRADES,CL823093,TATAMOTORS,SELL,264,1639.18,432743.52
2025-11-21,DELTA_TRADES,CL701548,ICICIBANK,SELL,262,2245.44,588305.28
2025-11-20,BETA_INVEST,CL303719,AXISBANK,BUY,48,2128.09,102148.32
2025-11-24,ALPHA_SEC,CL062166,AXISBANK,BUY,63,1093.46,68887.98
2025-11-23,DELTA_TRADES,CL523454,ICICIBANK,BUY,298,1081.02,322143.96
2025-11-25,OMEGA_BROKING,CL677853,ITC,BUY,220,1005.69,221251.8
2025-11-25,BETA_INVEST,CL013957,ICICIBANK,SELL,218,401.46,87518.28
2025-11-21,OMEGA_BROKING,CL912405,AXISBANK,SELL,260,1409.41,366446.6
2025-11-21,DELTA_TRADES,CL295347,HDFC,BUY,256,968.57,247953.92
2025-11-20,BETA_INVEST,CL734134,ITC,SELL,101,1815.72,183387.72
