TxnDate,ValueDate,Description,Debit,Credit,Balance,RefNo
2025-11-29,2025-11-29,PAYOUT TO CLIENT,70649,,1929351.0,TXN-0000000
2025-11-23,2025-11-23,PAYOUT TO CLIENT,131975,,1797376.0,TXN-0000001
2025-11-25,2025-11-25,CLIENT FUNDING - RTGS,,111950,1909326.0,TXN-0000002
2025-11-16,2025-11-18,MISC ADJUSTMENT,,32913,1942239.0,TXN-0000003
2025-11-17,2025-11-17,CLIENT FUNDING - RTGS,,70956,2013195.0,TXN-0000004
2025-11-15,2025-11-17,BANK / DP CHARGES,1671,,2011524.0,TXN-0000005
2025-11-27,2025-11-27,MISC ADJUSTMENT,18204,,1993320.0,TXN-0000006
2025-11-27,2025-11-27,MISC ADJUSTMENT,27277,,1966043.0,TXN-0000007
2025-11-23,2025-11-23,BROKERAGE / TRADE SETTLEMENT,68251,,1897792.0,TXN-0000008
2025-11-16,2025-11-16,PAYOUT TO CLIENT,23584,,1874208.0,TXN-0000009
2025-11-23,2025-11-25,MISC ADJUSTMENT,,12331,1886539.0,TXN-0000010
2025-11-19,2025-11-21,PAYOUT TO CLIENT,161583,,1724956.0,TXN-0000011
2025-11-16,2025-11-16,BANK / DP CHARGES,1957,,1722999.0,TXN-0000012
2025-11-25,2025-11-25,BANK / DP CHARGES,377,,1722622.0,TXN-0000013
2025-11-25,2025-11-25,BROKERAGE / TRADE SETTLEMENT,111702,,1610920.0,TXN-0000014
2025-11-21,2025-11-21,BANK / DP CHARGES,1457,,1609463.0,TXN-0000015
2025-11-29,2025-11-29,BANK / DP CHARGES,923,,1608540.0,TXN-0000016
2025-11-29,2025-11-29,PAYOUT TO CLIENT,112273,,1496267.0,TXN-0000017
2025-11-21,2025-11-23,MISC ADJUSTMENT,10305,,1485962.0,TXN-0000018
2025-11-23,2025-11-24,PAYOUT TO CLIENT,48500,,1437462.0,TXN-0000019
2025-11-15,2025-11-15,CLIENT FUNDING - RTGS,,91436,1528898.0,TXN-0000020
2025-11-20,2025-11-22,BROKERAGE / TRADE SETTLEMENT,41349,,1487549.0,TXN-0000021
2025-11-26,2025-11-26,CLIENT FUNDING - RTGS,,82105,1569654.0,TXN-0000022
2025-11-16,2025-11-16,BROKERAGE / TRADE SETTLEMENT,125489,,1444165.0,TXN-0000023
2025-11-27,2025-11-27,PAYOUT TO CLIENT,48418,,1395747.0,TXN-0000024
2025-11-16,2025-11-17,BROKERAGE / TRADE SETTLEMENT,142144,,1253603.0,TXN-0000025
2025-11-25,2025-11-25,MISC ADJUSTMENT,24248,,1229355.0,TXN-0000026
2025-11-19,2025-11-19,BROKERAGE / TRADE SETTLEMENT,31278,,1198077.0,TXN-0000027
2025-11-17,2025-11-18,MISC ADJUSTMENT,,46980,1245057.0,TXN-0000028
2025-11-15,2025-11-17,CLIENT FUNDING - RTGS,,135266,1380323.0,TXN-0000029
2025-11-24,2025-11-24,MISC ADJUSTMENT,31165,,1349158.0,TXN-0000030
2025-11-25,2025-11-25,MISC ADJUSTMENT,,39869,1389027.0,TXN-0000031
2025-11-26,2025-11-26,BANK / DP CHARGES,1834,,1387193.0,TXN-0000032
2025-11-17,2025-11-17,MISC ADJUSTMENT,29357,,1357836.0,TXN-0000033
2025-11-15,2025-11-15,PAYOUT TO CLIENT,156200,,1201636.0,TXN-0000034
2025-11-21,2025-11-22,BROKERAGE / TRADE SETTLEMENT,12440,,1189196.0,TXN-0000035
2025-11-21,2025-11-23,MISC ADJUSTMENT,,27746,1216942.0,TXN-0000036
2025-11-15,2025-11-16,BANK / DP CHARGES,746,,1216196.0,TXN-0000037
2025-11-21,2025-11-23,MISC ADJUSTMENT,32657,,1183539.0,TXN-0000038
2025-11-25,2025-11-25,MISC ADJUSTMENT,,43509,1227048.0,TXN-0000039
2025-11-23,2025-11-23,BANK / DP CHARGES,1744,,1225304.0,TXN-0000040
2025-11-17,2025-11-17,PAYOUT TO CLIENT,123134,,1102170.0,TXN-0000041
2025-11-28,2025-11-29,BANK / DP CHARGES,1285,,1100885.0,TXN-0000042
2025-11-16,2025-11-16,BROKERAGE / TRADE SETTLEMENT,11832,,1089053.0,TXN-0000043
2025-11-29,2025-11-29,PAYOUT TO CLIENT,193933,,895120.0,TXN-0000044
2025-11-18,2025-11-20,BROKERAGE / TRADE SETTLEMENT,141250,,753870.0,TXN-0000045
2025-11-26,2025-11-27,BANK / DP CHARGES,749,,753121.0,TXN-0000046
2025-11-21,2025-11-21,CLIENT FUNDING - RTGS,,168892,922013.0,TXN-0000047
2025-11-16,2025-11-16,MISC ADJUSTMENT,,17569,939582.0,TXN-0000048
2025-11-16,2025-11-16,MISC ADJUSTMENT,,39150,978732.0,TXN-0000049
2025-11-29,2025-12-01,BROKERAGE / TRADE SETTLEMENT,65052,,913680.0,TXN-0000050
2025-11-16,2025-11-17,BANK / DP CHARGES,1686,,911994.0,TXN-0000051
2025-11-17,2025-11-19,CLIENT FUNDING - RTGS,,165638,1077632.0,TXN-0000052
2025-11-17,2025-11-17,MISC ADJUSTMENT,,20768,1098400.0,TXN-0000053
2025-11-27,2025-11-29,PAYOUT TO CLIENT,132019,,966381.0,TXN-0000054
2025-11-18,2025-11-18,BANK / DP CHARGES,1199,,965182.0,TXN-0000055
2025-11-26,2025-11-26,BANK / DP CHARGES,1318,,963864.0,TXN-0000056
2025-11-22,2025-11-22,MISC ADJUSTMENT,,19138,983002.0,TXN-0000057
2025-11-25,2025-11-26,MISC ADJUSTMENT,8786,,974216.0,TXN-0000058
2025-11-16,2025-11-18,PAYOUT TO CLIENT,182525,,791691.0,TXN-0000059
2025-11-22,2025-11-23,PAYOUT TO CLIENT,58618,,733073.0,TXN-0000060
2025-11-25,2025-11-27,BANK / DP CHARGES,716,,732357.0,TXN-0000061
2025-11-29,2025-11-29,CLIENT FUNDING - RTGS,,200200,932557.0,TXN-0000062
2025-11-27,2025-11-29,PAYOUT TO CLIENT,42632,,889925.0,TXN-0000063
2025-11-25,2025-11-26,BROKERAGE / TRADE SETTLEMENT,57440,,832485.0,TXN-0000064
2025-11-15,2025-11-15,BANK / DP CHARGES,867,,831618.0,TXN-0000065
2025-11-26,2025-11-26,BROKERAGE / TRADE SETTLEMENT,48150,,783468.0,TXN-0000066
2025-11-26,2025-11-26,CLIENT FUNDING - RTGS,,235671,1019139.0,TXN-0000067
2025-11-17,2025-11-18,BROKERAGE / TRADE SETTLEMENT,124175,,894964.0,TXN-0000068
2025-11-22,2025-11-24,BANK / DP CHARGES,1886,,893078.0,TXN-0000069
2025-11-22,2025-11-23,MISC ADJUSTMENT,,30352,923430.0,TXN-0000070
2025-11-20,2025-11-20,PAYOUT TO CLIENT,29848,,893582.0,TXN-0000071
2025-11-24,2025-11-24,BANK / DP CHARGES,1867,,891715.0,TXN-0000072
2025-11-27,2025-11-27,MISC ADJUSTMENT,44535,,847180.0,TXN-0000073
2025-11-27,2025-11-28,PAYOUT TO CLIENT,121394,,725786.0,TXN-0000074
2025-11-17,2025-11-19,MISC ADJUSTMENT,33491,,692295.0,TXN-0000075
2025-11-22,2025-11-22,BANK / DP CHARGES,544,,691751.0,TXN-0000076
2025-11-27,2025-11-29,BROKERAGE / TRADE SETTLEMENT,18363,,673388.0,TXN-0000077
2025-11-16,2025-11-18,BANK / DP CHARGES,432,,672956.0,TXN-0000078
2025-11-18,2025-11-18,MISC ADJUSTMENT,,7052,680008.0,TXN-0000079
2025-11-18,2025-11-18,MISC ADJUSTMENT,21319,,658689.0,TXN-0000080
2025-11-18,2025-11-19,BROKERAGE / TRADE SETTLEMENT,35828,,622861.0,TXN-0000081
2025-11-29,2025-11-30,CLIENT FUNDING - RTGS,,84765,707626.0,TXN-0000082
2025-11-17,2025-11-18,BANK / DP CHARGES,638,,706988.0,TXN-0000083
2025-11-29,2025-12-01,CLIENT FUNDING - RTGS,,269046,976034.0,TXN-0000084
2025-11-26,2025-11-27,CLIENT FUNDING - RTGS,,56524,1032558.0,TXN-0000085
2025-11-26,2025-11-28,MISC ADJUSTMENT,,40248,1072806.0,TXN-0000086
2025-11-23,2025-11-24,BROKERAGE / TRADE SETTLEMENT,46416,,1026390.0,TXN-0000087
2025-11-29,2025-11-29,CLIENT FUNDING - RTGS,,98805,1125195.0,TXN-0000088
2025-11-19,2025-11-20,CLIENT FUNDING - RTGS,,207317,1332512.0,TXN-0000089
2025-11-29,2025-11-30,CLIENT FUNDING - RTGS,,286702,1619214.0,TXN-0000090
2025-11-17,2025-11-19,PAYOUT TO CLIENT,161289,,1457925.0,TXN-0000091
2025-11-25,2025-11-25,PAYOUT TO CLIENT,162619,,1295306.0,TXN-0000092
2025-11-27,2025-11-28,BANK / DP CHARGES,318,,1294988.0,TXN-0000093
2025-11-22,2025-11-23,BROKERAGE / TRADE SETTLEMENT,44477,,1250511.0,TXN-0000094
2025-11-25,2025-11-26,BANK / DP CHARGES,1170,,1249341.0,TXN-0000095
2025-11-22,2025-11-24,PAYOUT TO CLIENT,172027,,1077314.0,TXN-0000096
2025-11-17,2025-11-19,MISC ADJUSTMENT,,24555,1101869.0,TXN-0000097
2025-11-23,2025-11-25,MISC ADJUSTMENT,34693,,1067176.0,TXN-0000098
2025-11-24,2025-11-24,MISC ADJUSTMENT,49033,,1018143.0,TXN-0000099
2025-11-29,2025-11-29,PAYOUT TO CLIENT,79956,,938187.0,TXN-0000100
2025-11-24,2025-11-25,PAYOUT TO CLIENT,126284,,811903.0,TXN-0000101
2025-11-28,2025-11-29,MISC ADJUSTMENT,,8330,820233.0,TXN-0000102
2025-11-23,2025-11-25,CLIENT FUNDING - RTGS,,144228,964461.0,TXN-0000103
2025-11-20,2025-11-20,BROKERAGE / TRADE SETTLEMENT,127956,,836505.0,TXN-0000104
2025-11-20,2025-11-21,MISC ADJUSTMENT,25231,,811274.0,TXN-0000105
