TxnDate,ValueDate,Narration,Amount,RefNo
2025-11-18,2025-11-20,IMPS,183303,LED-000000
2025-11-25,2025-11-26,BROKER PAYIN,111282,LED-000001
2025-11-21,2025-11-23,BROKER PAYOUT,-118683,LED-000002
2025-11-17,,,154680,LED-000003
2025-11-27,2025-11-29,AUTO SWEEP,-86399,LED-000004
2025-11-26,2025-11-27,AUTO SWEEP,7556,LED-000005
2025-11-30,2025-12-02,IMPS,-20267,LED-000006
2025-11-30,2025-12-01,UPI,-154439,LED-000007
2025-11-23,2025-11-24,IMPS,120940,LED-000008
2025-11-21,,IMPS,-132065,LED-000009
2025-11-21,2025-11-21,ATM WDL,99978,LED-000010
2025-11-29,2025-12-01,BROKER PAYIN,-160044,LED-000011
2025-11-23,2025-11-23,AUTO SWEEP,114789,LED-000012
2025-11-20,2025-11-20,BROKER PAYIN,106912,LED-000013
2025-11-29,2025-11-29,BROKER PAYIN,-22410,LED-000014
2025-11-22,2025-11-23,UPI,-108013,LED-000015
2025-11-17,2025-11-18,BROKER PAYOUT,121913,LED-000016
2025-11-25,2025-11-26,ATM WDL,131496,LED-000017
2025-11-25,2025-11-26,AUTO SWEEP,-138578,LED-000018
2025-11-26,2025-11-26,UPI,162030,LED-000019
2025-11-20,2025-11-20,BROKER PAYOUT,106496,LED-000020
2025-11-20,2025-11-21,ATM WDL,-187616,LED-000021
2025-12-01,2025-12-03,UPI,58371,LED-000022
2025-11-27,2025-11-28,IMPS,32336,LED-000023
2025-11-26,2025-11-28,AUTO SWEEP,4890,LED-000024
2025-11-25,2025-11-25,BROKER PAYOUT,-6240,LED-000025
2025-11-17,2025-11-17,BROKER PAYIN,-66500,LED-000026
2025-11-19,2025-11-20,BROKER PAYOUT,-98721,LED-000027
2025-11-30,2025-12-01,AUTO SWEEP,57244,LED-000028
2025-11-30,2025-12-01,BROKER PAYOUT,-129921,LED-000029
2025-11-19,2025-11-21,IMPS,-153097,LED-000030
2025-11-28,,IMPS,-139581,LED-000031
2025-11-23,,BROKER PAYIN,-88339,LED-000032
2025-11-20,2025-11-22,BROKER PAYOUT,63898,LED-000033
2025-12-01,2025-12-01,BROKER PAYIN,104395,LED-000034
2025-11-20,2025-11-22,BROKER PAYOUT,111374,LED-000035
2025-11-30,2025-11-30,BROKER PAYIN,-30094,LED-000036
2025-11-19,2025-11-19,IMPS,123122,LED-000037
2025-11-18,2025-11-19,BROKER PAYOUT,-172689,LED-000038
2025-11-17,2025-11-19,ATM WDL,37790,LED-000039
2025-11-20,2025-11-22,BROKER PAYIN,46084,LED-000040
2025-11-22,2025-11-23,UPI,141131,LED-000041
