ClientID,ISIN,SecurityName,FreeQty,LockedQty,TotalQty,Valuation
CL974801,INE018A01030,LT,1247,0,1247,624437.63
CL276143,INE001A01036,HDFC,1518,0,1518,3977141.86
CL349344,INE002A01018,RELIANCE,2058,0,2058,3499633.77
CL326530,INE062A01020,SBIN,1895,0,1895,815080.57
CL296786,INE238A01026,AXISBANK,115,117,232,34105.1
CL941619,INE090A01021,ICICIBANK,2064,171,2235,1334518.64
CL351148,INE090A01021,ICICIBANK,1941,0,1941,919711.83
CL936401,INE002A01018,RELIANCE,566,0,566,1501165.19
CL472384,INE001A01036,HDFC,178,0,178,484932.35
CL642078,INE090A01021,ICICIBANK,2372,0,2372,515345.1
CL708863,INE090A01021,ICICIBANK,2755,0,2755,4088202.69
CL332652,INE237A01028,KOTAKBANK,2944,0,2944,3640172.13
CL263818,INE154A01025,ITC,1450,36,1486,1818418.44
CL493640,INE002A01018,RELIANCE,1053,0,1053,1346193.06
CL805782,INE238A01026,AXISBANK,2131,0,2131,5265299.35
CL959200,INE154A01025,ITC,2625,0,2625,4447715.61
CL733699,INE018A01030,LT,958,0,958,1191203.45
CL199867,INE062A01020,SBIN,17,0,17,45725.84
CL613359,INE237A01028,KOTAKBANK,1287,193,1480,3532453.21
CL304785,INE237A01028,KOTAKBANK,1965,0,1965,3870328.23
CL085914,INE018A01030,LT,1117,0,1117,3122474.53
CL962410,INE155A01022,TATAMOTORS,1100,0,1100,2063262.01
CL218063,INE018A01030,LT,1717,0,1717,1238688.92
CL562685,INE009A01021,INFY,1125,0,1125,1920039.01
CL806764,INE009A01021,INFY,6,0,6,9474.15
CL061003,INE155A01022,TATAMOTORS,441,0,441,457324.5
CL558281,INE154A01025,ITC,278,0,278,779897.03
CL578002,INE155A01022,TATAMOTORS,2890,0,2890,670128.19
CL669287,INE062A01020,SBIN,666,0,666,813371.97
CL797362,INE238A01026,AXISBANK,882,0,882,1949168.29
CL519390,INE001A01036,HDFC,2335,0,2335,4209551.73
CL285800,INE155A01022,TATAMOTORS,1188,182,1370,3219808.18
CL003377,INE001A01036,HDFC,601,0,601,1359984.41
CL919356,INE090A01021,ICICIBANK,694,0,694,1906041.83
CL283262,INE062A01020,SBIN,1057,41,1098,677108.55
CL121416,INE002A01018,RELIANCE,2714,285,2999,7769819.29
CL504819,INE237A01028,KOTAKBANK,1171,0,1171,2598181.97
CL310843,INE009A01021,INFY,1368,0,1368,2248230.49
CL719018,INE238A01026,AXISBANK,82,0,82,210903.12
CL228177,INE018A01030,LT,751,179,930,2032379.41
CL772375,INE155A01022,TATAMOTORS,1782,0,1782,3982784.85
CL500484,INE001A01036,HDFC,1298,0,1298,2429576.96
CL778434,INE238A01026,AXISBANK,1408,0,1408,592661.75
CL882626,INE154A01025,ITC,208,0,208,53262.05
CL855077,INE155A01022,TATAMOTORS,2589,0,2589,4427357.76
CL801322,INE237A01028,KOTAKBANK,1184,0,1184,1346146.2
