DP_Client_ID,ISIN_Code,Security_Desc,Holding,Pledge_Qty,MktPrice,HoldingValue
CL844186,INE155A01022,TATA MOTORS LTD,1028,0,2574.92,2647017.76
CL039373,INE155A01022,TATA MOTORS LTD,1702,0,1485.91,2529018.82
CL415101,INE155A01022,TATA MOTORS LTD,1919,0,2012.46,3861910.74
CL460862,INE155A01022,TATA MOTORS LTD,2321,0,1184.14,2748388.94
CL540380,INE237A01028,KOTAK MAHINDRA BANK,2823,0,2704.21,7633984.83
CL077468,INE237A01028,KOTAK MAHINDRA BANK,2520,0,214.32,540086.4
CL336138,INE155A01022,TATA MOTORS LTD,2147,0,299.5,643026.5
CL952697,INE090A01021,ICICI BANK LTD,81,0,1382.94,112018.14
CL237554,INE009A01021,INFOSYS LTD,270,0,165.99,44817.3
CL153891,INE002A01018,RELIANCE INDS LTD EQ,2127,0,2871.78,6108276.06
CL217292,INE090A01021,ICICI BANK LTD,2623,0,2606.46,6836744.58
CL241130,INE154A01025,ITC LTD EQ,434,0,395.8,171777.2
CL561557,INE237A01028,KOTAK MAHINDRA BANK,2686,0,2685.42,7213038.12
CL464048,INE155A01022,TATA MOTORS LTD,3131,0,1765.37,5527373.47
CL130015,INE154A01025,ITC LTD EQ,869,0,1600.67,1390982.23
CL848388,INE002A01018,RELIANCE INDS LTD EQ,905,0,1855.7,1679408.5
CL503410,INE009A01021,INFOSYS LTD,2140,0,669.71,1433179.4
CL192875,INE154A01025,ITC LTD EQ,3362,256,154.7,520101.4
CL104183,INE001A01036,HDFC BANK LTD DVR,2588,0,380.67,985173.96
CL332509,INE001A01036,HDFC BANK LTD,2877,0,947.87,2727021.99
CL325667,INE009A01021,INFOSYS LTD,911,0,2385.21,2172926.31
CL157691,INE009A01021,INFOSYS LTD,1511,0,472.19,713479.09
CL634939,INE090A01021,ICICI BANK LTD,1818,0,2784.82,5062802.76
CL198196,INE002A01018,RELIANCE INDS LTD EQ,1464,71,1355.87,1984993.68
CL059306,INE018A01030,LARSEN AND TOUBRO,898,0,389.4,349681.2
CL153089,INE238A01026,AXIS BANK LTD EQ,758,0,2531.37,1918778.46
CL645523,INE237A01028,KOTAK MAHINDRA BANK,2880,0,744.75,2144880.0
CL857917,INE002A01018,RELIANCE INDS LTD EQ,2461,0,1078.92,2655222.12
CL538043,INE062A01020,STATE BANK OF INDIA,1423,0,1557.22,2215924.06
CL408688,INE062A01020,STATE BANK OF INDIA,549,0,2000.71,1098389.79
CL031568,INE002A01018,RELIANCE INDS LTD EQ,2820,0,553.84,1561828.8
CL717313,INE009A01021,INFOSYS LTD,1121,0,1771.42,1985761.82
CL024739,INE090A01021,ICICI BANK LTD,3139,0,1955.29,6137655.31
CL672217,INE090A01021,ICICI BANK LTD,1528,0,1493.34,2281823.52
CL077934,INE238A01026,AXIS BANK LTD DVR EQ,2802,0,1947.59,5457147.18
CL101883,INE062A01020,STATE BANK OF INDIA,204,0,1841.41,375647.64
CL179450,INE001A01036,HDFC BANK LTD,319,0,185.09,59043.71
CL445525,INE062A01020,STATE BNK OF INDIA,1249,0,2512.24,3137787.76
CL074523,INE238A01026,AXIS BANK LTD EQ,2443,0,1404.69,3431657.67
CL271576,INE155A01022,TATA MOTORS LTD,718,0,2915.67,2093451.06
CL564542,INE018A01030,LARSEN AND TOUBRO,694,307,1129.24,783692.56
CL026785,INE018A01030,LARSEN AND TOUBRO,2504,0,1433.9,3590485.6
CL110744,INE090A01021,ICICI BNK LTD,1032,0,2810.08,2900002.56
CL520188,INE154A01025,ITC LTD EQ,2138,0,1146.49,2451195.62
CL446173,INE238A01026,AXIS BANK LTD EQ,1910,0,1255.2,2397432.0
CL347814,INE090A01021,ICICI BNK LTD,1056,0,2768.6,2923641.6
CL236571,INE009A01021,INFOSYS LTD,909,460,2085.12,1895374.08
CL657410,INE018A01030,LARSEN AND TOUBRO,202,0,2513.46,507718.92
CL796375,INE062A01020,STATE BANK OF INDIA,69,0,1748.21,120626.49
CL955419,INE237A01028,KOTAK MAHINDRA BANK,1384,0,1326.62,1836042.08
CL241442,INE154A01025,ITC LTD EQ,3313,275,174.48,578052.24
CL072870,INE062A01020,STATE BANK OF INDIA,1723,0,2082.82,3588698.86
CL190208,INE154A01025,ITC LTD EQ,370,256,162.41,60091.7
CL345390,INE238A01026,AXIS BANK LTD EQ,1985,0,2360.9,4686386.5
CL298909,INE009A01021,INFOSYS LTD,3492,0,1443.33,5040108.36
CL796235,INE001A01036,HDFC BANK LTD,1586,0,1196.15,1897093.9
CL585645,INE155A01022,TATA MOTORS LTD,1141,0,2058.24,2348451.84
CL979117,INE001A01036,HDFC BANK LTD,1482,0,2619.3,3881802.6
CL044985,INE237A01028,KOTAK MAHINDRA BANK,1246,0,2681.02,3340550.92
CL698626,INE154A01025,ITC LTD EQ,729,0,2745.47,2001447.63
CL803055,INE154A01025,ITC LTD EQ,1318,0,1734.55,2286136.9
CL104793,INE001A01036,HDFC BANK LTD,3291,0,1452.81,4781197.71
CL163637,INE238A01026,AXIS BANK LTD EQ,1478,0,2108.64,3116569.92
CL222512,INE062A01020,STATE BANK OF INDIA,3456,0,1795.87,6206526.72
CL055126,INE090A01021,ICICI BANK LTD,2917,0,1081.25,3154006.25
CL969378,INE238A01026,AXIS BNK LTD EQ,1313,0,1544.09,2027390.17
CL623029,INE154A01025,ITC LTD EQ,3313,0,2567.58,8506392.54
CL774171,INE238A01026,AXIS BANK LTD DVR EQ,904,0,138.64,125330.56
CL095032,INE018A01030,LARSEN AND TOUBRO,3106,0,617.52,1918017.12
CL501301,INE001A01036,HDFC BANK LTD,1505,0,2546.05,3831805.25
CL851765,INE018A01030,LARSEN AND TOUBRO,2875,0,1123.7,3230637.5
CL051112,INE001A01036,HDFC BANK LTD,282,0,576.02,162437.64
CL004356,INE238A01026,AXIS BANK LTD EQ,3351,146,2832.8,9492712.8
CL184697,INE238A01026,AXIS BANK LTD EQ,838,227,2281.88,1912215.44
CL772961,INE238A01026,AXIS BANK LTD EQ,433,45,2271.79,983685.07
CL577747,INE155A01022,TATA MOTORS LTD,1704,0,1636.54,2788664.16
CL140271,INE018A01030,LARSEN AND TOUBRO,2574,0,918.31,2363729.94
CL191394,INE002A01018,RELIANCE INDS LTD EQ,3318,0,1235.09,4098028.62
CL795163,INE062A01020,STATE BANK OF INDIA,2621,0,2748.16,7202927.36
CL526775,INE154A01025,ITC LTD EQ,129,0,1013.58,130751.82
CL288080,INE018A01030,LARSEN AND TOUBRO,2740,0,562.22,1540482.8
CL985175,INE237A01028,KOTAK MAHINDRA BANK,2481,0,1469.97,3646995.57
CL065418,INE154A01025,ITC LTD EQ,1433,0,2492.19,3571308.27
CL675188,INE090A01021,ICICI BANK LTD,159,113,1275.0,202725.0
CL793478,INE238A01026,AXIS BNK LTD EQ,2341,0,2510.38,5876799.58
CL023410,INE090A01021,ICICI BANK LTD,229,0,745.44,170705.76
CL138522,INE002A01018,RELIANCE INDS LTD DVR EQ,1831,0,305.1,558638.1
CL690378,INE090A01021,ICICI BANK LTD,2696,0,1198.31,3230643.76
CL904834,INE001A01036,HDFC BANK LTD,1679,0,394.67,662650.93
CL871280,INE090A01021,ICICI BANK LTD,2987,0,2109.95,6302420.65
CL701978,INE237A01028,KOTAK MAHINDRA BANK,714,172,1789.14,1277445.96
CL148680,INE001A01036,HDFC BANK LTD,1037,172,2723.92,2824705.04
CL023591,INE155A01022,TATA MOTORS LTD,1050,0,1263.16,1326318.0
CL894052,INE154A01025,ITC LTD EQ,3421,0,689.43,2358540.03
CL851937,INE238A01026,AXIS BANK LTD EQ,1423,0,1827.18,2600077.14
CL335904,INE062A01020,STATE BANK OF INDIA,3032,0,872.28,2644752.96
CL536649,INE237A01028,KOTAK MAHINDRA BANK,3444,0,1455.76,5013637.44
CL975119,INE155A01022,TATA MOTORS LTD,1960,0,914.97,1793341.2
CL421744,INE238A01026,AXIS BANK LTD DVR EQ,3395,0,726.47,2466365.65
CL275477,INE009A01021,INFOSYS LTD,2175,0,2733.61,5945601.75
CL418883,INE154A01025,ITC LTD EQ,2789,0,850.5,2372044.5
CL946135,INE155A01022,TATA MOTORS LTD,760,0,487.63,370598.8
CL441010,INE001A01036,HDFC BANK LTD,2096,0,2224.95,4663495.2
CL270740,INE001A01036,HDFC BANK LTD,571,200,557.11,318109.81
CL093477,INE002A01018,RELIANCE INDS LTD EQ,224,0,711.02,159268.48
CL155857,INE062A01020,STATE BANK OF INDIA,3223,0,1284.9,4141232.7
CL816827,INE001A01036,HDFC BNK LTD,1550,0,450.34,698027.0
CL304063,INE154A01025,ITC LTD EQ,804,149,835.5,671742.0
CL965395,INE009A01021,INFOSYS LTD,257,0,1999.05,513755.85
CL578592,INE062A01020,STATE BANK OF INDIA,62,0,2705.32,167729.84
CL502177,INE155A01022,TATA MOTORS LTD,800,0,752.34,601872.0
CL337902,INE154A01025,ITC LTD EQ,411,0,2263.7,930380.7
CL391596,INE238A01026,AXIS BANK LTD EQ,2586,0,1719.24,4445954.64
CL264649,INE090A01021,ICICI BANK LTD DVR,2605,450,895.9,2333819.5
CL902549,INE155A01022,TATA MOTORS LTD,3236,0,2191.3,7091046.8
CL377188,INE002A01018,RELIANCE INDS LTD EQ,129,0,2473.19,319041.51
CL046555,INE155A01022,TATA MOTORS LTD,2378,0,480.14,1141772.92
CL101251,INE155A01022,TATA MOTORS LTD,1757,0,2157.38,3790516.66
CL991223,INE002A01018,RELIANCE INDS LTD EQ,2160,197,2208.89,4771202.4
CL495642,INE009A01021,INFOSYS LTD,1074,0,1215.48,1305425.52
CL197787,INE237A01028,KOTAK MAHINDRA BANK,793,155,2177.75,1726955.75
CL513428,INE155A01022,TATA MOTORS LTD,2214,0,1290.44,2857034.16
CL215383,INE090A01021,ICICI BANK LTD DVR,2101,0,2078.9,4367768.9
CL435109,INE018A01030,LARSEN AND TOUBRO,862,0,2829.48,2439011.76
CL804860,INE237A01028,KOTAK MAHINDRA BANK,1899,0,2689.48,5107322.52
CL451105,INE237A01028,KOTAK MAHINDRA BANK,1817,0,2187.6,3974869.2
CL462645,INE062A01020,STATE BANK OF INDIA,952,0,1385.31,1318815.12
CL825201,INE001A01036,HDFC BANK LTD,953,0,1943.89,1852527.17
CL936002,INE001A01036,HDFC BNK LTD,980,0,2434.39,2385702.2
CL854902,INE062A01020,STATE BANK OF INDIA,166,0,1437.26,238585.16
CL175327,INE237A01028,KOTAK MAHINDRA BANK,830,0,356.38,295795.4
CL852452,INE009A01021,INFOSYS LTD,1658,0,1430.86,2372365.88
CL168317,INE090A01021,ICICI BANK LTD,1986,0,275.9,547937.4
CL750343,INE237A01028,KOTAK MAHINDRA BANK,517,0,2677.3,1384164.1
CL778531,INE237A01028,KOTAK MAHINDRA BNK,2041,0,2644.65,5397730.65
CL299956,INE154A01025,ITC LTD EQ,17,9,2425.56,41234.52
CL509888,INE238A01026,AXIS BANK LTD EQ,930,0,1064.7,990171.0
CL029307,INE018A01030,LARSEN AND TOUBRO,3212,0,2153.56,6917234.72
CL920312,INE090A01021,ICICI BANK LTD,551,0,1779.12,980295.12
CL297592,INE018A01030,LARSEN AND TOUBRO,2266,0,2501.35,5668059.1
CL595095,INE002A01018,RELIANCE INDS LTD EQ,2529,0,293.46,742160.34
CL413527,INE090A01021,ICICI BANK LTD,2341,303,280.94,657680.54
CL460906,INE001A01036,HDFC BANK LTD DVR,1080,0,1875.51,2025550.8
CL748788,INE154A01025,ITC LTD EQ,1445,0,1230.28,1777754.6
CL359081,INE002A01018,RELIANCE INDS LTD EQ,3488,244,453.67,1582400.96
