ValuationDate,SchemeName,ISIN,NAV,AUM_Cr
2025-11-24,Alpha Equity Fund - Regular,INF25228400,593.607,1562.5
2025-10-31,Balanced Advantage Fund,INF78899101,1896.0923,2121.89
2025-11-25,Overnight Fund,INF86469302,1216.5875,4357.12
2025-11-24,Alpha Equity Fund - Regular,INF65782303,1054.7883,2202.33
2025-10-24,Alpha Equity Fund - Regular,INF27166604,31660.1879,3998.51
2025-11-03,Short Term Debt Fund,INF65083005,1083.1604,4069.48
2025-10-29,Overnight Fund,INF75819106,1185.5863,4691.75
2025-10-27,Balanced Advantage Fund,INF71823507,1991.2409,170.86
2025-10-23,Arbitrage Edge Fund,INF88850108,1524.645,2609.32
2025-11-26,Liquid Ultra Fund,INF75289109,850.7931,2866.39
2025-11-05,Balanced Advantage Fund,INF19023400,119.6897,886.89
2025-11-04,Overnight Fund,INF95644301,494.1305,2583.68
2025-10-23,Balanced Advantage Fund,INF48683202,1449.3748,3075.06
2025-11-15,Balanced Advantage Fund,INF22474303,602.1704,243.57
2025-10-30,Alpha Equity Fund - Regular,INF18780904,1136.9564,4960.37
2025-10-25,Alpha Equity Fund - Regular,INF44462805,1068.8834,3073.41
2025-11-01,Arbitrage Edge Fund,INF35665406,1109.9205,1942.18
2025-10-22,Liquid Ultra Fund,INF34642707,293.4794,4177.38
2025-11-15,Overnight Fund,INF39569908,503.75,2643.61
2025-11-23,Alpha Equity Fund - Regular,INF76446909,1722.783,494.21
2025-10-31,Alpha Equity Fund - Regular,INF92601100,739.2653,3410.41
2025-11-19,Arbitrage Edge Fund,INF68311301,1660.2324,2373.29
2025-11-15,Arbitrage Edge Fund,INF92724202,1162.829,573.7
2025-11-19,Alpha Equity Fund - Regular,INF23614103,77.6989,3300.42
2025-11-09,Arbitrage Edge Fund,INF83555304,1676.503,921.08
2025-11-17,Short Term Debt Fund,INF42517505,770.4203,3507.94
2025-11-17,Arbitrage Edge Fund,INF99312306,458.8742,3747.49
2025-11-04,Balanced Advantage Fund,INF33967907,996.3131,3817.6
2025-11-18,Dynamic Asset Allocator,INF72386508,347.556,1916.09
2025-10-22,Short Term Debt Fund,INF94581309,1588.0765,3254.25
